CNPJ_Fundo;Data_Referencia;Versao;Nome_Ativo;Objetivos;Montante_Investido;Origem_Recursos
01.235.622/0001-61;2016-12-01;2;3 unidade do Hotel &Spa Toscanini;Revenda de unidades;701100;Recursos próprios
01.235.622/0001-61;2016-12-01;2;1 unidades do ed. Residencial Seasons;Revenda de unidades;384306;Recursos próprios
01.601.918/0001-59;2016-12-01;1;Não houve aquisições no período;Não houve aquisições no período;0,00;Não houve aquisições no período
03.683.056/0001-86;2016-12-01;3;Ed Parque Paulista;Renda de Aluguéis;6527123.64;5º Emisão de Cotas
04.782.236/0001-88;2016-12-31;1;Terreno;Aquisição de terreno para futura construção;26000000;operação de credito por securitização (CRI)
04.782.236/0001-88;2016-12-31;1;Terreno;Aquisição de terreno para futura construção;3000000;Integralização de capital
07.583.627/0001-61;2016-12-01;1;Não aplicável;Não aplicável;0;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;Não aplicável;0;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;Não aplicável;0;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;Não aplicável;0;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;Não aplicável;0;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;Não aplicável;0;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;Não aplicável;0;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;Não aplicável;0;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;Não aplicável;0;Não aplicável
07.583.627/0001-61;2016-12-01;1;Não aplicável;Não aplicável;0;Não aplicável
07.789.135/0001-27;2016-12-01;1;Cotas de Fundo - GF FIC FI REFERENCIADO DI;Renda;39586552.43;Capital
07.789.135/0001-27;2016-12-01;1;Cotas de Fundo-ITAU SOBERANO RF SIMPLES LP FICFI;Renda;624781.98;Capital
